	指标	地区	年	数据	行业	行业指标
1430	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2018		住宿和餐饮业	人员
1431	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2017	67.1579	住宿和餐饮业	人员
1432	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2016	55.7452	住宿和餐饮业	人员
1433	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2015	48.7187	住宿和餐饮业	人员
1434	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2014	39.3604	住宿和餐饮业	人员
1435	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2013	35.0232	住宿和餐饮业	人员
1436	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2012	26.461	住宿和餐饮业	人员
1437	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2011	25.5695	住宿和餐饮业	人员
1438	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2010	25.9322	住宿和餐饮业	人员
1439	住宿和餐饮业私营企业和个体就业人员	广西壮族自治区	2009	34.0774	住宿和餐饮业	人员
1440	住宿和餐饮业私营企业和个体就业人员	海南省	2018		住宿和餐饮业	人员
1441	住宿和餐饮业私营企业和个体就业人员	海南省	2017	21.0961	住宿和餐饮业	人员
1442	住宿和餐饮业私营企业和个体就业人员	海南省	2016	19.1954	住宿和餐饮业	人员
1443	住宿和餐饮业私营企业和个体就业人员	海南省	2015	15.3593	住宿和餐饮业	人员
1444	住宿和餐饮业私营企业和个体就业人员	海南省	2014	13.3184	住宿和餐饮业	人员
1445	住宿和餐饮业私营企业和个体就业人员	海南省	2013	14.7277	住宿和餐饮业	人员
1446	住宿和餐饮业私营企业和个体就业人员	海南省	2012	7.7697	住宿和餐饮业	人员
1447	住宿和餐饮业私营企业和个体就业人员	海南省	2011	8.2426	住宿和餐饮业	人员
1448	住宿和餐饮业私营企业和个体就业人员	海南省	2010	7.7319	住宿和餐饮业	人员
1449	住宿和餐饮业私营企业和个体就业人员	海南省	2009	6.9571	住宿和餐饮业	人员
1450	住宿和餐饮业私营企业和个体就业人员	重庆市	2018		住宿和餐饮业	人员
1451	住宿和餐饮业私营企业和个体就业人员	重庆市	2017	95.4978	住宿和餐饮业	人员
1452	住宿和餐饮业私营企业和个体就业人员	重庆市	2016	82.1687	住宿和餐饮业	人员
1453	住宿和餐饮业私营企业和个体就业人员	重庆市	2015	68.0384	住宿和餐饮业	人员
1454	住宿和餐饮业私营企业和个体就业人员	重庆市	2014	53.9623	住宿和餐饮业	人员
1455	住宿和餐饮业私营企业和个体就业人员	重庆市	2013	43.202	住宿和餐饮业	人员
1456	住宿和餐饮业私营企业和个体就业人员	重庆市	2012	36.179	住宿和餐饮业	人员
1457	住宿和餐饮业私营企业和个体就业人员	重庆市	2011	28.6165	住宿和餐饮业	人员
1458	住宿和餐饮业私营企业和个体就业人员	重庆市	2010	21.1649	住宿和餐饮业	人员
1459	住宿和餐饮业私营企业和个体就业人员	重庆市	2009	19.629	住宿和餐饮业	人员
1460	住宿和餐饮业私营企业和个体就业人员	四川省	2018		住宿和餐饮业	人员
1461	住宿和餐饮业私营企业和个体就业人员	四川省	2017	135.137	住宿和餐饮业	人员
1462	住宿和餐饮业私营企业和个体就业人员	四川省	2016	115.1014	住宿和餐饮业	人员
1463	住宿和餐饮业私营企业和个体就业人员	四川省	2015	98.5175	住宿和餐饮业	人员
1464	住宿和餐饮业私营企业和个体就业人员	四川省	2014	75.5901	住宿和餐饮业	人员
1465	住宿和餐饮业私营企业和个体就业人员	四川省	2013	84.4059	住宿和餐饮业	人员
1466	住宿和餐饮业私营企业和个体就业人员	四川省	2012	76.9761	住宿和餐饮业	人员
1467	住宿和餐饮业私营企业和个体就业人员	四川省	2011	68.6734	住宿和餐饮业	人员
1468	住宿和餐饮业私营企业和个体就业人员	四川省	2010	69.6829	住宿和餐饮业	人员
1469	住宿和餐饮业私营企业和个体就业人员	四川省	2009	69.0553	住宿和餐饮业	人员
1470	住宿和餐饮业私营企业和个体就业人员	贵州省	2018		住宿和餐饮业	人员
1471	住宿和餐饮业私营企业和个体就业人员	贵州省	2017	71.8892	住宿和餐饮业	人员
1472	住宿和餐饮业私营企业和个体就业人员	贵州省	2016	60.0241	住宿和餐饮业	人员
1473	住宿和餐饮业私营企业和个体就业人员	贵州省	2015	47.8102	住宿和餐饮业	人员
1474	住宿和餐饮业私营企业和个体就业人员	贵州省	2014	41.2975	住宿和餐饮业	人员
1475	住宿和餐饮业私营企业和个体就业人员	贵州省	2013	33.746	住宿和餐饮业	人员
1476	住宿和餐饮业私营企业和个体就业人员	贵州省	2012	24.0663	住宿和餐饮业	人员
1477	住宿和餐饮业私营企业和个体就业人员	贵州省	2011	17.7762	住宿和餐饮业	人员
1478	住宿和餐饮业私营企业和个体就业人员	贵州省	2010	14.0362	住宿和餐饮业	人员
1479	住宿和餐饮业私营企业和个体就业人员	贵州省	2009	13.0513	住宿和餐饮业	人员
1480	住宿和餐饮业私营企业和个体就业人员	云南省	2018		住宿和餐饮业	人员
1481	住宿和餐饮业私营企业和个体就业人员	云南省	2017	86.4853	住宿和餐饮业	人员
1482	住宿和餐饮业私营企业和个体就业人员	云南省	2016	75.0271	住宿和餐饮业	人员
1483	住宿和餐饮业私营企业和个体就业人员	云南省	2015	55.5883	住宿和餐饮业	人员
1484	住宿和餐饮业私营企业和个体就业人员	云南省	2014	58.23	住宿和餐饮业	人员
1485	住宿和餐饮业私营企业和个体就业人员	云南省	2013	50.3526	住宿和餐饮业	人员
1486	住宿和餐饮业私营企业和个体就业人员	云南省	2012	45.4473	住宿和餐饮业	人员
1487	住宿和餐饮业私营企业和个体就业人员	云南省	2011	43.2364	住宿和餐饮业	人员
1488	住宿和餐饮业私营企业和个体就业人员	云南省	2010	37.9709	住宿和餐饮业	人员
1489	住宿和餐饮业私营企业和个体就业人员	云南省	2009	33.5726	住宿和餐饮业	人员
1490	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2018		住宿和餐饮业	人员
1491	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2017	14.6636	住宿和餐饮业	人员
1492	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2016	13.1441	住宿和餐饮业	人员
1493	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2015	9.6191	住宿和餐饮业	人员
1494	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2014	8.6525	住宿和餐饮业	人员
1495	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2013	8.3497	住宿和餐饮业	人员
1496	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2012	7.2285	住宿和餐饮业	人员
1497	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2011	6.5223	住宿和餐饮业	人员
1498	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2010	5.4715	住宿和餐饮业	人员
1499	住宿和餐饮业私营企业和个体就业人员	西藏自治区	2009	4.9581	住宿和餐饮业	人员
1500	住宿和餐饮业私营企业和个体就业人员	陕西省	2018		住宿和餐饮业	人员
1501	住宿和餐饮业私营企业和个体就业人员	陕西省	2017	90.2281	住宿和餐饮业	人员
1502	住宿和餐饮业私营企业和个体就业人员	陕西省	2016	77.1397	住宿和餐饮业	人员
1503	住宿和餐饮业私营企业和个体就业人员	陕西省	2015	63.8829	住宿和餐饮业	人员
1504	住宿和餐饮业私营企业和个体就业人员	陕西省	2014	54.261	住宿和餐饮业	人员
1505	住宿和餐饮业私营企业和个体就业人员	陕西省	2013	47.3318	住宿和餐饮业	人员
1506	住宿和餐饮业私营企业和个体就业人员	陕西省	2012	45.4033	住宿和餐饮业	人员
1507	住宿和餐饮业私营企业和个体就业人员	陕西省	2011	40.534	住宿和餐饮业	人员
1508	住宿和餐饮业私营企业和个体就业人员	陕西省	2010	34.912	住宿和餐饮业	人员
1509	住宿和餐饮业私营企业和个体就业人员	陕西省	2009	9.781	住宿和餐饮业	人员
1510	住宿和餐饮业私营企业和个体就业人员	甘肃省	2018		住宿和餐饮业	人员
1511	住宿和餐饮业私营企业和个体就业人员	甘肃省	2017	130.2685	住宿和餐饮业	人员
1512	住宿和餐饮业私营企业和个体就业人员	甘肃省	2016	47.4065	住宿和餐饮业	人员
1513	住宿和餐饮业私营企业和个体就业人员	甘肃省	2015	40.8709	住宿和餐饮业	人员
1514	住宿和餐饮业私营企业和个体就业人员	甘肃省	2014	33.7465	住宿和餐饮业	人员
1515	住宿和餐饮业私营企业和个体就业人员	甘肃省	2013	28.6544	住宿和餐饮业	人员
1516	住宿和餐饮业私营企业和个体就业人员	甘肃省	2012	25.8365	住宿和餐饮业	人员
1517	住宿和餐饮业私营企业和个体就业人员	甘肃省	2011	22.9295	住宿和餐饮业	人员
1518	住宿和餐饮业私营企业和个体就业人员	甘肃省	2010	20.639	住宿和餐饮业	人员
1519	住宿和餐饮业私营企业和个体就业人员	甘肃省	2009	19.1113	住宿和餐饮业	人员
1520	住宿和餐饮业私营企业和个体就业人员	青海省	2018		住宿和餐饮业	人员
1521	住宿和餐饮业私营企业和个体就业人员	青海省	2017	15.5017	住宿和餐饮业	人员
1522	住宿和餐饮业私营企业和个体就业人员	青海省	2016	13.2243	住宿和餐饮业	人员
1523	住宿和餐饮业私营企业和个体就业人员	青海省	2015	10.7704	住宿和餐饮业	人员
1524	住宿和餐饮业私营企业和个体就业人员	青海省	2014	14.6877	住宿和餐饮业	人员
1525	住宿和餐饮业私营企业和个体就业人员	青海省	2013	14.1285	住宿和餐饮业	人员
1526	住宿和餐饮业私营企业和个体就业人员	青海省	2012	7.6764	住宿和餐饮业	人员
1527	住宿和餐饮业私营企业和个体就业人员	青海省	2011	7.4475	住宿和餐饮业	人员
1528	住宿和餐饮业私营企业和个体就业人员	青海省	2010	6.8746	住宿和餐饮业	人员
1529	住宿和餐饮业私营企业和个体就业人员	青海省	2009	6.7506	住宿和餐饮业	人员
1530	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2018		住宿和餐饮业	人员
1531	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2017	16.9005	住宿和餐饮业	人员
1532	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2016	14.6166	住宿和餐饮业	人员
1533	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2015	13.2025	住宿和餐饮业	人员
1534	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2014	10.6937	住宿和餐饮业	人员
1535	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2013	8.4535	住宿和餐饮业	人员
1536	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2012	8.4414	住宿和餐饮业	人员
1537	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2011	7.6637	住宿和餐饮业	人员
1538	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2010	7.153	住宿和餐饮业	人员
1539	住宿和餐饮业私营企业和个体就业人员	宁夏回族自治区	2009	5.9421	住宿和餐饮业	人员
1540	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2018		住宿和餐饮业	人员
1541	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2017	45.7346	住宿和餐饮业	人员
1542	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2016	39.7357	住宿和餐饮业	人员
1543	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2015	33.6476	住宿和餐饮业	人员
1544	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2014	25.4606	住宿和餐饮业	人员
1545	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2013	22.4329	住宿和餐饮业	人员
1546	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2012	18.9527	住宿和餐饮业	人员
1547	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2011	18.6542	住宿和餐饮业	人员
1548	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2010	19.3009	住宿和餐饮业	人员
1549	住宿和餐饮业私营企业和个体就业人员	新疆维吾尔自治区	2009	18.6746	住宿和餐饮业	人员
1550	租赁和商务服务业私营企业和个体就业人员	北京市	2018		租赁和商务服务业	人员
1551	租赁和商务服务业私营企业和个体就业人员	北京市	2017	186.4213	租赁和商务服务业	人员
1552	租赁和商务服务业私营企业和个体就业人员	北京市	2016	171.7407	租赁和商务服务业	人员
1553	租赁和商务服务业私营企业和个体就业人员	北京市	2015	152.5744	租赁和商务服务业	人员
1554	租赁和商务服务业私营企业和个体就业人员	北京市	2014	122.5499	租赁和商务服务业	人员
1555	租赁和商务服务业私营企业和个体就业人员	北京市	2013	99.3205	租赁和商务服务业	人员
1556	租赁和商务服务业私营企业和个体就业人员	北京市	2012	84.4539	租赁和商务服务业	人员
1557	租赁和商务服务业私营企业和个体就业人员	北京市	2011	73.9065	租赁和商务服务业	人员
1558	租赁和商务服务业私营企业和个体就业人员	北京市	2010	65.1997	租赁和商务服务业	人员
1559	租赁和商务服务业私营企业和个体就业人员	北京市	2009	58.0908	租赁和商务服务业	人员
1560	租赁和商务服务业私营企业和个体就业人员	天津市	2018		租赁和商务服务业	人员
1561	租赁和商务服务业私营企业和个体就业人员	天津市	2017	23.6647	租赁和商务服务业	人员
1562	租赁和商务服务业私营企业和个体就业人员	天津市	2016	19.6608	租赁和商务服务业	人员
1563	租赁和商务服务业私营企业和个体就业人员	天津市	2015	14.5728	租赁和商务服务业	人员
1564	租赁和商务服务业私营企业和个体就业人员	天津市	2014	11.6522	租赁和商务服务业	人员
1565	租赁和商务服务业私营企业和个体就业人员	天津市	2013	10.7699	租赁和商务服务业	人员
1566	租赁和商务服务业私营企业和个体就业人员	天津市	2012	11.7841	租赁和商务服务业	人员
1567	租赁和商务服务业私营企业和个体就业人员	天津市	2011	12.8197	租赁和商务服务业	人员
1568	租赁和商务服务业私营企业和个体就业人员	天津市	2010	11.0158	租赁和商务服务业	人员
1569	租赁和商务服务业私营企业和个体就业人员	天津市	2009	7.6804	租赁和商务服务业	人员
1570	租赁和商务服务业私营企业和个体就业人员	河北省	2018		租赁和商务服务业	人员
1571	租赁和商务服务业私营企业和个体就业人员	河北省	2017	35.1369	租赁和商务服务业	人员
1572	租赁和商务服务业私营企业和个体就业人员	河北省	2016	29.4922	租赁和商务服务业	人员
1573	租赁和商务服务业私营企业和个体就业人员	河北省	2015	23.8084	租赁和商务服务业	人员
1574	租赁和商务服务业私营企业和个体就业人员	河北省	2014	18.7183	租赁和商务服务业	人员
1575	租赁和商务服务业私营企业和个体就业人员	河北省	2013	15.9944	租赁和商务服务业	人员
1576	租赁和商务服务业私营企业和个体就业人员	河北省	2012	17.476	租赁和商务服务业	人员
1577	租赁和商务服务业私营企业和个体就业人员	河北省	2011	13.3899	租赁和商务服务业	人员
1578	租赁和商务服务业私营企业和个体就业人员	河北省	2010	11.612	租赁和商务服务业	人员
1579	租赁和商务服务业私营企业和个体就业人员	河北省	2009	11.6322	租赁和商务服务业	人员
1580	租赁和商务服务业私营企业和个体就业人员	山西省	2018		租赁和商务服务业	人员
1581	租赁和商务服务业私营企业和个体就业人员	山西省	2017	23.9613	租赁和商务服务业	人员
1582	租赁和商务服务业私营企业和个体就业人员	山西省	2016	20.2339	租赁和商务服务业	人员
1583	租赁和商务服务业私营企业和个体就业人员	山西省	2015	18.1964	租赁和商务服务业	人员
1584	租赁和商务服务业私营企业和个体就业人员	山西省	2014	17.084	租赁和商务服务业	人员
1585	租赁和商务服务业私营企业和个体就业人员	山西省	2013	13.6791	租赁和商务服务业	人员
1586	租赁和商务服务业私营企业和个体就业人员	山西省	2012	6.3257	租赁和商务服务业	人员
1587	租赁和商务服务业私营企业和个体就业人员	山西省	2011	8.448	租赁和商务服务业	人员
1588	租赁和商务服务业私营企业和个体就业人员	山西省	2010	7.4759	租赁和商务服务业	人员
1589	租赁和商务服务业私营企业和个体就业人员	山西省	2009	5.5095	租赁和商务服务业	人员
1590	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2018		租赁和商务服务业	人员
1591	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2017	36.0033	租赁和商务服务业	人员
1592	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2016	28.674	租赁和商务服务业	人员
1593	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2015	25.7902	租赁和商务服务业	人员
1594	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2014	18.9735	租赁和商务服务业	人员
1595	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2013	16.1977	租赁和商务服务业	人员
1596	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2012	13.2924	租赁和商务服务业	人员
1597	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2011	12.2076	租赁和商务服务业	人员
1598	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2010	9.7562	租赁和商务服务业	人员
1599	租赁和商务服务业私营企业和个体就业人员	内蒙古自治区	2009	7.8834	租赁和商务服务业	人员
1600	租赁和商务服务业私营企业和个体就业人员	辽宁省	2018		租赁和商务服务业	人员
1601	租赁和商务服务业私营企业和个体就业人员	辽宁省	2017	49.0639	租赁和商务服务业	人员
1602	租赁和商务服务业私营企业和个体就业人员	辽宁省	2016	36.1464	租赁和商务服务业	人员
1603	租赁和商务服务业私营企业和个体就业人员	辽宁省	2015	40.5935	租赁和商务服务业	人员
1604	租赁和商务服务业私营企业和个体就业人员	辽宁省	2014	54.5148	租赁和商务服务业	人员
1605	租赁和商务服务业私营企业和个体就业人员	辽宁省	2013	42.005	租赁和商务服务业	人员
1606	租赁和商务服务业私营企业和个体就业人员	辽宁省	2012	36.871	租赁和商务服务业	人员
1607	租赁和商务服务业私营企业和个体就业人员	辽宁省	2011	33.3879	租赁和商务服务业	人员
1608	租赁和商务服务业私营企业和个体就业人员	辽宁省	2010	27.36	租赁和商务服务业	人员
1609	租赁和商务服务业私营企业和个体就业人员	辽宁省	2009	26.989	租赁和商务服务业	人员
1610	租赁和商务服务业私营企业和个体就业人员	吉林省	2018		租赁和商务服务业	人员
1611	租赁和商务服务业私营企业和个体就业人员	吉林省	2017	32.5283	租赁和商务服务业	人员
1612	租赁和商务服务业私营企业和个体就业人员	吉林省	2016	27.7707	租赁和商务服务业	人员
1613	租赁和商务服务业私营企业和个体就业人员	吉林省	2015	26.1373	租赁和商务服务业	人员
1614	租赁和商务服务业私营企业和个体就业人员	吉林省	2014	17.6392	租赁和商务服务业	人员
1615	租赁和商务服务业私营企业和个体就业人员	吉林省	2013	13.5218	租赁和商务服务业	人员
1616	租赁和商务服务业私营企业和个体就业人员	吉林省	2012	11.8187	租赁和商务服务业	人员
1617	租赁和商务服务业私营企业和个体就业人员	吉林省	2011	9.951	租赁和商务服务业	人员
1618	租赁和商务服务业私营企业和个体就业人员	吉林省	2010	8.455	租赁和商务服务业	人员
1619	租赁和商务服务业私营企业和个体就业人员	吉林省	2009	6.8791	租赁和商务服务业	人员
1620	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2018		租赁和商务服务业	人员
1621	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2017	13.8604	租赁和商务服务业	人员
1622	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2016	11.7038	租赁和商务服务业	人员
1623	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2015	8.9052	租赁和商务服务业	人员
1624	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2014	20.3944	租赁和商务服务业	人员
1625	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2013	26.3435	租赁和商务服务业	人员
1626	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2012	22.0013	租赁和商务服务业	人员
1627	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2011	19.4927	租赁和商务服务业	人员
1628	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2010	14.5341	租赁和商务服务业	人员
1629	租赁和商务服务业私营企业和个体就业人员	黑龙江省	2009	10.6515	租赁和商务服务业	人员
1630	租赁和商务服务业私营企业和个体就业人员	上海市	2018		租赁和商务服务业	人员
1631	租赁和商务服务业私营企业和个体就业人员	上海市	2017	276.7403	租赁和商务服务业	人员
1632	租赁和商务服务业私营企业和个体就业人员	上海市	2016	238.4355	租赁和商务服务业	人员
1633	租赁和商务服务业私营企业和个体就业人员	上海市	2015	203.2647	租赁和商务服务业	人员
1634	租赁和商务服务业私营企业和个体就业人员	上海市	2014	154.8046	租赁和商务服务业	人员
1635	租赁和商务服务业私营企业和个体就业人员	上海市	2013	117.9645	租赁和商务服务业	人员
1636	租赁和商务服务业私营企业和个体就业人员	上海市	2012	97.792	租赁和商务服务业	人员
1637	租赁和商务服务业私营企业和个体就业人员	上海市	2011	84.0672	租赁和商务服务业	人员
1638	租赁和商务服务业私营企业和个体就业人员	上海市	2010	71.1439	租赁和商务服务业	人员
1639	租赁和商务服务业私营企业和个体就业人员	上海市	2009	81.0007	租赁和商务服务业	人员
1640	租赁和商务服务业私营企业和个体就业人员	江苏省	2018		租赁和商务服务业	人员
1641	租赁和商务服务业私营企业和个体就业人员	江苏省	2017	317.8497	租赁和商务服务业	人员
1642	租赁和商务服务业私营企业和个体就业人员	江苏省	2016	282.8763	租赁和商务服务业	人员
1643	租赁和商务服务业私营企业和个体就业人员	江苏省	2015	183.4538	租赁和商务服务业	人员
1644	租赁和商务服务业私营企业和个体就业人员	江苏省	2014	125.9821	租赁和商务服务业	人员
1645	租赁和商务服务业私营企业和个体就业人员	江苏省	2013	111.4661	租赁和商务服务业	人员
1646	租赁和商务服务业私营企业和个体就业人员	江苏省	2012	91.0337	租赁和商务服务业	人员
1647	租赁和商务服务业私营企业和个体就业人员	江苏省	2011	77.6111	租赁和商务服务业	人员
1648	租赁和商务服务业私营企业和个体就业人员	江苏省	2010	68.0512	租赁和商务服务业	人员
1649	租赁和商务服务业私营企业和个体就业人员	江苏省	2009	56.1451	租赁和商务服务业	人员
1650	租赁和商务服务业私营企业和个体就业人员	浙江省	2018		租赁和商务服务业	人员
1651	租赁和商务服务业私营企业和个体就业人员	浙江省	2017	261.7496	租赁和商务服务业	人员
1652	租赁和商务服务业私营企业和个体就业人员	浙江省	2016	212.0455	租赁和商务服务业	人员
1653	租赁和商务服务业私营企业和个体就业人员	浙江省	2015	203.7492	租赁和商务服务业	人员
1654	租赁和商务服务业私营企业和个体就业人员	浙江省	2014	112.3575	租赁和商务服务业	人员
1655	租赁和商务服务业私营企业和个体就业人员	浙江省	2013	87.2751	租赁和商务服务业	人员
1656	租赁和商务服务业私营企业和个体就业人员	浙江省	2012	70.1712	租赁和商务服务业	人员
1657	租赁和商务服务业私营企业和个体就业人员	浙江省	2011	66.3282	租赁和商务服务业	人员
1658	租赁和商务服务业私营企业和个体就业人员	浙江省	2010	57.0989	租赁和商务服务业	人员
1659	租赁和商务服务业私营企业和个体就业人员	浙江省	2009	47.053000000000004	租赁和商务服务业	人员
1660	租赁和商务服务业私营企业和个体就业人员	安徽省	2018		租赁和商务服务业	人员
1661	租赁和商务服务业私营企业和个体就业人员	安徽省	2017	69.9127	租赁和商务服务业	人员
1662	租赁和商务服务业私营企业和个体就业人员	安徽省	2016	56.3953	租赁和商务服务业	人员
1663	租赁和商务服务业私营企业和个体就业人员	安徽省	2015	46.3772	租赁和商务服务业	人员
1664	租赁和商务服务业私营企业和个体就业人员	安徽省	2014	37.2862	租赁和商务服务业	人员
1665	租赁和商务服务业私营企业和个体就业人员	安徽省	2013	29.8899	租赁和商务服务业	人员
1666	租赁和商务服务业私营企业和个体就业人员	安徽省	2012	22.801	租赁和商务服务业	人员
1667	租赁和商务服务业私营企业和个体就业人员	安徽省	2011	26.1721	租赁和商务服务业	人员
1668	租赁和商务服务业私营企业和个体就业人员	安徽省	2010	21.2511	租赁和商务服务业	人员
1669	租赁和商务服务业私营企业和个体就业人员	安徽省	2009	16.8143	租赁和商务服务业	人员
1670	租赁和商务服务业私营企业和个体就业人员	福建省	2018		租赁和商务服务业	人员
1671	租赁和商务服务业私营企业和个体就业人员	福建省	2017	114.4294	租赁和商务服务业	人员
1672	租赁和商务服务业私营企业和个体就业人员	福建省	2016	95.1526	租赁和商务服务业	人员
1673	租赁和商务服务业私营企业和个体就业人员	福建省	2015	71.6016	租赁和商务服务业	人员
1674	租赁和商务服务业私营企业和个体就业人员	福建省	2014	55.4858	租赁和商务服务业	人员
1675	租赁和商务服务业私营企业和个体就业人员	福建省	2013	46.3628	租赁和商务服务业	人员
1676	租赁和商务服务业私营企业和个体就业人员	福建省	2012	44.6055	租赁和商务服务业	人员
1677	租赁和商务服务业私营企业和个体就业人员	福建省	2011	38.2063	租赁和商务服务业	人员
1678	租赁和商务服务业私营企业和个体就业人员	福建省	2010	30.7603	租赁和商务服务业	人员
1679	租赁和商务服务业私营企业和个体就业人员	福建省	2009	25.8822	租赁和商务服务业	人员
1680	租赁和商务服务业私营企业和个体就业人员	江西省	2018		租赁和商务服务业	人员
1681	租赁和商务服务业私营企业和个体就业人员	江西省	2017	70.0101	租赁和商务服务业	人员
1682	租赁和商务服务业私营企业和个体就业人员	江西省	2016	64.8258	租赁和商务服务业	人员
1683	租赁和商务服务业私营企业和个体就业人员	江西省	2015	57.4299	租赁和商务服务业	人员
1684	租赁和商务服务业私营企业和个体就业人员	江西省	2014	45.7319	租赁和商务服务业	人员
1685	租赁和商务服务业私营企业和个体就业人员	江西省	2013	33.1734	租赁和商务服务业	人员
1686	租赁和商务服务业私营企业和个体就业人员	江西省	2012	25.3291	租赁和商务服务业	人员
1687	租赁和商务服务业私营企业和个体就业人员	江西省	2011	17.7187	租赁和商务服务业	人员
1688	租赁和商务服务业私营企业和个体就业人员	江西省	2010	11.3506	租赁和商务服务业	人员
1689	租赁和商务服务业私营企业和个体就业人员	江西省	2009	11.0968	租赁和商务服务业	人员
1690	租赁和商务服务业私营企业和个体就业人员	山东省	2018		租赁和商务服务业	人员
1691	租赁和商务服务业私营企业和个体就业人员	山东省	2017	157.895	租赁和商务服务业	人员
1692	租赁和商务服务业私营企业和个体就业人员	山东省	2016	128.3686	租赁和商务服务业	人员
1693	租赁和商务服务业私营企业和个体就业人员	山东省	2015	106.4288	租赁和商务服务业	人员
1694	租赁和商务服务业私营企业和个体就业人员	山东省	2014	86.1561	租赁和商务服务业	人员
1695	租赁和商务服务业私营企业和个体就业人员	山东省	2013	68.46300000000001	租赁和商务服务业	人员
1696	租赁和商务服务业私营企业和个体就业人员	山东省	2012	67.61399999999999	租赁和商务服务业	人员
1697	租赁和商务服务业私营企业和个体就业人员	山东省	2011	59.5331	租赁和商务服务业	人员
1698	租赁和商务服务业私营企业和个体就业人员	山东省	2010	50.1105	租赁和商务服务业	人员
1699	租赁和商务服务业私营企业和个体就业人员	山东省	2009	43.1038	租赁和商务服务业	人员
1700	租赁和商务服务业私营企业和个体就业人员	河南省	2018		租赁和商务服务业	人员
1701	租赁和商务服务业私营企业和个体就业人员	河南省	2017	76.2909	租赁和商务服务业	人员
1702	租赁和商务服务业私营企业和个体就业人员	河南省	2016	54.5485	租赁和商务服务业	人员
1703	租赁和商务服务业私营企业和个体就业人员	河南省	2015	44.5946	租赁和商务服务业	人员
1704	租赁和商务服务业私营企业和个体就业人员	河南省	2014	36.1104	租赁和商务服务业	人员
1705	租赁和商务服务业私营企业和个体就业人员	河南省	2013	27.6943	租赁和商务服务业	人员
1706	租赁和商务服务业私营企业和个体就业人员	河南省	2012	29.1621	租赁和商务服务业	人员
1707	租赁和商务服务业私营企业和个体就业人员	河南省	2011	27.9945	租赁和商务服务业	人员
1708	租赁和商务服务业私营企业和个体就业人员	河南省	2010	23.5473	租赁和商务服务业	人员
1709	租赁和商务服务业私营企业和个体就业人员	河南省	2009	19.0335	租赁和商务服务业	人员
